k,Kmeans,GMM
2,0.00617036865276918,0.03366763262251807
3,0.01540757613341869,0.05092454570730534
4,0.01721810975945554,0.05230527928449478
5,0.017337930998586184,0.02557997691193414
6,0.030737873455317515,0.04591978343641177
7,0.042843656607115824,0.04717027046631362
10,0.03789192914234735,0.05124105215641714
15,0.030279505042764127,0.03935246510012114
20,0.0320173901348348,0.03561741108309657
25,0.030826562082595037,0.043142809534211325
30,0.035416215553037624,0.04494866105583784
35,0.03196444967442678,0.04163795863111937
40,0.03433945258694567,0.04083256374625108
45,0.033299626291048816,0.042605539653770355
50,0.03156008110193904,0.03395165665256103
